id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,74,2020,"upbeat,bright,feel-good"
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,61,2020,"mellow,focused,dreamy"
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,55,2010,"aggressive,driven,raw"
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,58,2020,"peaceful,rainy,quiet"
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,82,2020,"pumped,powerful,motivating"
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,43,2010,"ethereal,floating,introspective"
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,50,2000,"warm,nostalgic,smooth"
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,67,2010,"cinematic,dark,retro"
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,63,2020,"calm,steady,productive"
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,71,2020,"joyful,breezy,romantic"
11,Crown the Concrete,DJ Vanta,hip-hop,confident,0.78,95,0.72,0.88,0.08,79,2010,"bold,assertive,street"
12,Glass Sonata,Clara Voss,classical,peaceful,0.18,52,0.74,0.22,0.97,38,2000,"delicate,serene,timeless"
13,Dust Road Darling,Ember Creek,country,nostalgic,0.54,104,0.63,0.61,0.72,46,2000,"longing,rustic,heartfelt"
14,Iron Collapse,Void Hammer,metal,aggressive,0.98,178,0.21,0.45,0.03,52,2010,"brutal,intense,chaotic"
15,Velvet Hours,Sable and Quinn,r&b,romantic,0.52,86,0.78,0.71,0.41,68,2020,"sensual,smooth,emotional"
16,Shoreline Drift,Coral Roots,reggae,laid-back,0.44,76,0.80,0.68,0.58,55,2010,"breezy,carefree,sunny"
17,Neon Overflow,Pulse Grid,electronic,euphoric,0.89,138,0.85,0.92,0.04,88,2020,"electric,euphoric,high-energy"
18,Broken Levee,Hank Delray,blues,sad,0.31,68,0.28,0.38,0.83,41,1990,"sorrowful,raw,soulful"
19,Pine and Ash,The Wandering Few,folk,melancholic,0.23,84,0.35,0.33,0.91,36,2010,"wistful,lonely,tender"
20,Ritmo Ardiente,Casa Fuego,latin,festive,0.86,126,0.91,0.94,0.14,77,2020,"vibrant,celebratory,passionate"
